Loot System Logs Active: 2025_8_22-8_59_23
9_0_15 | INFO | Loot System has started
9_0_15 | INFO | Room settings loaded successfully.
9_0_15 | INFO | Box settings loaded successfully.
9_0_15 | INFO | LockAllLootRooms called
9_0_15 | INFO | Locking room: South Port Industrial Base
9_0_15 | INFO | Locking room: Airfield Base
9_1_1 | INFO | Player and identity are valid on connect.
9_1_28 | INFO | UnlockLootRoom: Loot room 'Airfield Base' unlocked by Player: P E N G U I N [SteamID: 76561198413928129]
9_1_28 | INFO | Raycast hit surface at: <6919.892090, 26.264978, 2204.709229>
9_1_28 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6919.892090, 26.264978, 2204.709229>
9_1_28 | INFO | Surface type at position <6919.892090, 26.264978, 2204.709229> is cp_grass
9_1_28 | INFO | Raycast hit surface at: <6920.383789, 27.456356, 2204.697266>
9_1_28 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6920.383789, 27.456356, 2204.697266>
9_1_28 | INFO | Surface type at position <6920.383789, 27.456356, 2204.697266> is concrete_int
9_1_28 | INFO | Raycast hit surface at: <6920.390625, 29.244846, 2204.714111>
9_1_28 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6920.390625, 29.244846, 2204.714111>
9_1_28 | INFO | Surface type at position <6920.390625, 29.244846, 2204.714111> is concrete_int
9_1_28 | INFO | Spawning loot box at position: <6909.319824, 26.129999, 2213.879883>
9_1_28 | INFO | Random loot table selected from user setting file: Tools
9_1_29 | INFO | Successfully spawned loot box at position: <6909.319824, 26.129999, 2213.879883>
9_1_29 | INFO | Spawning loot box at position: <6910.319824, 26.129999, 2198.879883>
9_1_29 | INFO | Random loot table selected from user setting file: Tools
9_1_29 | INFO | Successfully spawned loot box at position: <6910.319824, 26.129999, 2198.879883>
9_1_29 | INFO | Spawning loot box at position: <6929.319824, 26.129999, 2206.879883>
9_1_29 | ERROR | Could not attach part: carbattery to any available slot on vehicle: URAL_375_1964
9_1_29 | ERROR | Not Enough Loot In The List Compared To The Min Loot Amount for box at <6929.319824, 26.129999, 2206.879883>
9_1_29 | INFO | UnlockLootRoom: No sound is set to play for loot room 'Airfield Base'.
