
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


//Marker 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		-1,		1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		-1,		1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		-1,		5	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		-1,		5	// Sellvalue -1 means it can not be selled
		Apple,					*,		-1,		2
		Pear,					*,		-1,		3
		Orange,					*,		-1,		1
		Banana,					*,		-1,		1
		Tomato,					*,		-1,		10
		Potato,					*,		-1,		10
		GreenBellPepper,		*,		-1,		5
		Zucchini,				*,		-1,		10
		Pumpkin,				*,		-1,		15
		AgaricusMushroom,		*,		-1,		2
		AmanitaMushroom,		*,		-1,		2
		LactariusMushroom,		*,		-1,		2
		MacrolepiotaMushroom,	*,		-1,		2
		PsilocybeMushroom,		*,		-1,		2
		AuriculariaMushroom,	*,		-1,		2
		BoletusMushroom,		*,		-1,		2
		PleurotusMushroom,		*,		-1,		2
	
	<Category> Packaged Food
		PowderedMilk,			*,		200,		-1
		BoxCerealCrunchin,		*,		200,		-1
		Chips,					*,		200,		-1
		Crackers,				*,		200,		-1
		SaltySticks,			*,		200,		-1
		Zagorky,				*,		200,		-1
		ZagorkyChocolate,		*,		200,		-1
		ZagorkyPeanuts,			*,		200,		-1
		Rice,					*,		300,		-1
		Marmalade,				*,		300,		-1
		Honey,					*,		300,		-1
		PeachesCan,				*,		400,		-1
		SardinesCan,			*,		400,		-1
		DogFoodCan,				*,		400,		-1
		TunaCan,				*,		400,		-1
		BrisketSpread,			*,		400,		-1
		Pate,					*,		400,		-1
		Lunchmeat,				*,		400,		-1
		CatFoodCan,				*,		100,		-1
		Pajka,					*,		400,		-1
		SpaghettiCan,			*,		500,		-1
		BakedBeansCan,			*,		500,		-1
		PorkCan,				*,		500,		-1
		TacticalBaconCan,		*,		500,		-1	
		UnknownFoodCan,			*,		500,		-1
		
	<Category> Party
		Candycane_Green,		*,		500,		-1
		Candycane_Red,			*,		500,		-1
		Candycane_RedGreen,		*,		500,		-1
		Candycane_Yellow,		*,		500,		-1
		
	<Category> Meat
		ChickenBreastMeat,			S,		-1,		5
		GoatSteakMeat,				S,		-1,		25
		SheepSteakMeat,				S,		-1,		25
		PigSteakMeat,				S,		-1,		30
		BoarSteakMeat,				S,		-1,		25
		WolfSteakMeat,				S,		-1,		50
		DeerSteakMeat,				S,		-1,		25
		CowSteakMeat,				S,		-1,		25
		BearSteakMeat,				S,		-1,		200
		Sardines,					S,		-1,		5
		Carp,						S,		-1,		10
		Mackerel,					S,		-1,		10
		RabbitPelt,					*,		-1,		10
		CowPelt,					*,		-1,		50
		GoatPelt, 					*,		-1,		50
		WildboarPelt,				*,		-1,		50
		SheepPelt,					*,		-1,		50
		PigPelt, 					*,		-1,		50
		DeerPelt,					*,		-1,		50
		WolfPelt,					*,		-1,		50
		BearPelt,					*,		-1,		175
		jmc_BearPeltPolar,			*,		-1,		250	
		XZ_Boar_serdce,				*,		-1,		125
		XZ_Boar_liver,				*,		-1,		125
		Mutant_XZ_Boar_leg,			*,		-1,		125
		Mutant_XZ_Burer_Hand,		*,		-1,		125
		XZ_Burer_liver,				*,		-1,		125
		XZ_Burer_serdce,			*,		-1,		125
		XZ_Burer_brain,				*,		-1,		125
		Mutant_XZ_Cat_Leg,			*,		-1,		75
		XZ_Cat_Bayn_liver,			*,		-1,		75
		XZ_Cat_Bayn_serdce,			*,		-1,		75
		Mutant_XZ_Himera_Kogot,		*,		-1,		300
		XZ_Himera_serdce,			*,		-1,		300
		XZ_Himera_liver,			*,		-1,		300
		Mutant_XZ_Dog_Tail,			*,		-1,		75
		XZ_Dog_liver,				*,		-1,		75
		XZ_Dog_serdce,				*,		-1,		75
		Mutant_XZ_Fresh_Eye,		*,		-1,		75
		XZ_Fresh_liver,				*,		-1,		75
		XZ_Fresh_serdce,			*,		-1,		75
		Mutant_XZ_Izlom_Hand,		*,		-1,		75
		XZ_Izlom_liver,				*,		-1,		75
		XZ_Izlom_serdce,			*,		-1,		75
		XZ_Izlom_brain,				*,		-1,		75
		Mutant_XZ_Krovosos_Jaw,		*,		-1,		175
		XZ_Krovosos_liver,			*,		-1,		150
		XZ_Krovosos_serdce,			*,		-1,		150
		XZ_Krovosos_brain,			*,		-1,		175
		Mutant_XZ_Pdog_Tail,		S,		-1,		75
		XZ_Pdog_liver,				*,		-1,		50
		XZ_Pdog_serdce,				*,		-1,		75	
		Mutant_XZ_Pgigant_Hand,		S,		-1,		750
		XZ_Pgigant_liver,			*,		-1,		750
		XZ_Pgigant_serdce,			*,		-1,		750
		XZ_Pgigant_brain,			*,		-1,		750
		Mutant_XZ_Poltergeist_Eye,	S,		-1,		150
		XZ_Poltergeist_serdce,		*,		-1,		150
		XZ_Poltergeist_brain,		*,		-1,		150
		Mutant_XZ_Snork_Leg,		S,		-1,		100
		XZ_Snork_liver,				*,		-1,		100
		XZ_Snork_serdce,			*,		-1,		100
		XZ_Snork_brain,				*,		-1,		100
		Mutant_XZ_Tushkano_Head,	S,		-1,		75
		XZ_Tushkano_liver,			*,		-1,		75
		XZ_Tushkano_serdce,			*,		-1,		75
		Mutant_XZ_Zombi_Hand,		S,		-1,		100
		XZ_Zombi_liver,				*,		-1,		100
		XZ_Zombi_serdce,			*,		-1,		100
		XZ_Zombi_brain,				*,		-1,		100		
		
	//<Category> Animal Parts
		Bone,					*,		-1,		-1
		Lard,					*,		-1,		-1
		Guts,					*,		-1,		-1
		SmallGuts,				*,		-1,		-1
		ChickenFeather,			*,		-1,		-1
		
	<Category> Drinks
		SodaCan_Cola, 			*,		250, 		-1
		SodaCan_Kvass, 			*,		250, 		-1
		SodaCan_Pipsi, 			*,		250, 		-1
		SodaCan_Spite, 			*,		250, 		-1
		SodaCan_Fronta, 		*,		250, 		-1
		WaterBottle,			*,		550,		-1
		Canteen,				*,		850,		-1
		Vodka,					*,		1250,		-1
		
	<Category> Medical Supplies
		//Rag,					1,		50,			-1
		BandageDressing,		2,		30,			-1
		BloodTestKit,			*,		50,			-1
		//InjectionVial,		*,		50, 		-1
		Thermometer,			*,		50,			-1
		DisinfectantSpray,		*,		80,			-1
		IodineTincture,			*,		80,			-1
		//Syringe,				*,		80, 		-1
		Heatpack,				*,		100,		-1
		StartKitIV,				*,		500,		-1
		SalineBag,				*,		550,		-1
		BloodBagEmpty,			*,		180,		-1
		FirstAidKit,			*,		200,		-1
		//Defibrillator,		*,		350, 		-1
		
	<Category> Medications
		CharcoalTablets,		*,		250,		-1
		DisinfectantAlcohol,	*,		600,		-1
		VitaminBottle,			*,		1200,		-1
		TetracyclineAntibiotics,*,		1800,		-1
		PainkillerTablets,		*,		500,		-1
		Epinephrine,			*,		750,		-1
		Morphine,				*,		750,		-1
		AntiChemInjector,		*,		2500, 		-1
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1

//Marker 1
<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		1250,		-1
		Wrench,					*,		1250,		-1
		SewingKit,				*,		1000, 		-1
		Pliers,					*,		750, 		-1
		LeatherSewingKit,		*,		1000, 		-1
		Whetstone,				*,		1500,		-1
		Hammer,					*,		2500,		-1
		Hacksaw,				*,		2000,		-1
		HandSaw,				*,		2500,		-1
		WeaponCleaningKit,		*,		2500, 		-1
		KitchenKnife,			*,		250,		-1
		SteakKnife,				*,		250,		-1
		HuntingKnife,			*,		750,		-1
		FangeKnife,				*,		1250,		-1
		CanOpener,				*,		250,		-1
		Compass,				*,		750,		-1
		OrienteeringCompass,	*,		750,		-1
		Hatchet,				*,		1500,		-1
		CombatKnife,			*,		1500,		-1
		KukriKnife,				*,		1750,		-1
		Machete,				*,		1500,		-1
		Cleaver,				*,		500,		-1
		CrudeMachete,			*,		750,		-1
		OrientalMachete,		*,		750,		-1
		Sickle,					*,		500,		-1
		ChernarusMap,			*,		-1,			-1
		Lockpick,				*,		8000,		250
		Binoculars,				*,		300,		-1		
		FishingRod,				*,		2000,		150
		GPSReceiver,			*,		5000,		100
		PunchedCard,			*,		-1,			-1

	<Category> Key Duplication
		VehicleKeyDuplicate,	K,		50,		-1
		
	<Category> Tools (big)
		LugWrench,				*,		500,		-1
		Crowbar,				*,		500,		-1
		Shovel,					*,		1250,		-1
		FieldShovel,			*,		1250,		-1
		FarmingHoe,				*,		1500,		-1
		Pitchfork,				*,		600,		-1
		Broom,					*,		250,		-1
		Broom_Birch,			*,		250,		-1
		Pickaxe,				*,		1500,		-1
		SledgeHammer,			*,		2500,		-1
		PipeWrench,				W,		750,		-1
		WoodAxe,				*,		3000,		-1
		FirefighterAxe,			*,		3500,		-1
		rag_baseitems_sawblade,	*,		2500,		-1		
		
	<Category> Electronics
		Battery9V,				*,		750,	-1
		PersonalRadio,			*,		1000,	-1
		Megaphone,				*,		30,		-1
		ElectronicRepairKit,	*,		1000,	-1
		CableReel,				*,		40,		-1
		BatteryCharger,			*,		1500,	-1
		BaseRadio,				*,		1000,	-1
		Rangefinder,			*,		600,	-1
		NVGoggles,				*,		6000,	-1
	
	<Category> Fire & Lights
		Chemlight_Blue,			*,		25,		-1
		Chemlight_Green,		*,		25,		-1
		Chemlight_Red,			*,		25,		-1
		Chemlight_White,		*,		25,		-1
		Chemlight_Yellow,		*,		25,		-1
		Roadflare,				*,		50,		-1
		Matchbox,				*,		500,	-1
		PetrolLighter,			*,		1000,	-1
		Flashlight,				*,		750,	-1
		PortableGasLamp,		*,		750,	-1
		PortableGasStove,		*,		1250,	-1
		Blowtorch,				*,		2500,	-1
		Headtorch_Black,		*,		1500,	-1
		Headtorch_Grey,			*,		1500,	-1
		Spotlight,				*,		4000,	-1
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		500,	-1
		KitchenTimer,			*,		250,	-1
		Pot,					M,		1000,	-1
		Cauldron,				M,		1500,	-1
		FryingPan,				M,		750,	-1
		MeatTenderizer,			*,		250,	-1
		Tripod,					*,		750,	-1
		BearTrap,				*,		2500,	-1
	
	<Category> Hardware Supplies
		Paper,					*,		10,			-1
		Pen_Blue,				*,		20,			-1
		Rope,					*,		500,		-1
		TannedLeather,			*,		-1,			25
		AntiPestsSpray,			*,		80,			-1
		MetalWire,				*,		500,		-1
		EpoxyPutty,				*,		1000,		-1
		DuctTape,				*,		1000,		-1
		XmasLights,				*,		250,		-1
		AlarmClock_Blue,		*,		250,		-1
		AlarmClock_Green,		*,		250,		-1
		AlarmClock_Red,			*,		250,		-1
		HandcuffKeys,			*,		35,			-1
		Handcuffs,				*,		50,			-1
		Netting,				1,		50,			-1
		BurlapSack,				*,		50,			-1
		Fabric,					*,		50,			-1
		WoodenPlank,			1,		-1,			5
		MetalPlate,				*,		600,		-1
		SmallProtectorCase,		*,		2000,		-1
		AmmoBox,				*,		80,			-1
		SmallGasCanister,		*,		800,		-1
		MediumGasCanister,		*,		1000,		-1
		LargeGasCanister,		*,		2000,		-1
		CanisterGasoline,		*,		5000,		-1
		NailBox,				*,		3000,		-1
		BarbedWire,				*,		450,		-1
