-2025_8_21-20_38_31
20_39_23 | INFO | UtopiaAirdropModule has started
20_44_28 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_44_28 | DEBUG | [AIRDROP] Player count: 0
20_44_28 | INFO | [AIRDROP] Players to start the airdrop.0
20_49_28 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_49_28 | DEBUG | [AIRDROP] Player count: 0
20_49_28 | INFO | [AIRDROP] Players to start the airdrop.0
20_54_28 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_54_28 | DEBUG | [AIRDROP] Player count: 0
20_54_28 | INFO | [AIRDROP] Players to start the airdrop.0
20_59_28 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_59_28 | DEBUG | [AIRDROP] Player count: 0
20_59_28 | INFO | [AIRDROP] Players to start the airdrop.0
21_4_28 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_4_28 | DEBUG | [AIRDROP] Player count: 0
21_4_28 | INFO | [AIRDROP] Players to start the airdrop.0
21_9_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_9_24 | DEBUG | [AIRDROP] Player count: 0
21_9_24 | INFO | [AIRDROP] Players to start the airdrop.0
21_14_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_14_24 | DEBUG | [AIRDROP] Player count: 0
21_14_24 | INFO | [AIRDROP] Players to start the airdrop.0
21_19_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_19_24 | DEBUG | [AIRDROP] Player count: 0
21_19_24 | INFO | [AIRDROP] Players to start the airdrop.0
21_24_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_24_24 | DEBUG | [AIRDROP] Player count: 0
21_24_24 | INFO | [AIRDROP] Players to start the airdrop.0
